condition,condition_labs,subject,trial,score,ignap,ignba,icint
40 bananas 40 apples,hi40lo40,8,1,51,0,0,1.7750018750011805
40 bananas 40 apples,hi40lo40,8,2,67,0,0,1.6798743750041467
40 bananas 40 apples,hi40lo40,8,3,47,0,0,1.4870188157870678
40 bananas 40 apples,hi40lo40,8,4,58,0,0,1.6379495714258934
40 bananas 40 apples,hi40lo40,8,5,71,0,0,1.7276881818208054
40 bananas 40 apples,hi40lo40,8,6,62,0,0,1.6882029411807546
40 bananas 40 apples,hi40lo40,8,7,56,0,0,1.6142347142832087
40 bananas 40 apples,hi40lo40,8,8,44,0,0,1.4558169230794868
40 bananas 40 apples,hi40lo40,8,9,63,0,0,1.6570004687528126
40 bananas 40 apples,hi40lo40,8,10,52,0,0,1.4846749999989315
40 bananas 40 apples,hi40lo40,8,11,60,0,0,1.768513225807598
40 bananas 40 apples,hi40lo40,8,12,38,0,0,1.5434394444455393
40 bananas 40 apples,hi40lo40,8,13,50,0,0,1.7341904838704654
40 bananas 40 apples,hi40lo40,8,14,62,0,0,1.6449141176485949
40 bananas 40 apples,hi40lo40,8,15,50,0,0,1.8905843333341181
40 bananas 40 apples,hi40lo40,8,16,46,0,0,1.5982806060646633
40 bananas 40 apples,hi40lo40,8,17,66,1,0,1.6629224242430858
40 bananas 40 apples,hi40lo40,8,18,14,0,1,1.2988742045444353
40 bananas 40 apples,hi40lo40,8,19,55,0,0,1.735406969695098
40 bananas 40 apples,hi40lo40,8,20,51,0,0,1.7461818181839066
10 bananas 70 apples,hi10lo70,9,1,34,0.058823529411764705,0,1.1349835999996867
10 bananas 70 apples,hi10lo70,9,2,38,0.047619047619047616,0,1.2073241489359792
10 bananas 70 apples,hi10lo70,9,3,34,0,0,1.325618571428571
10 bananas 70 apples,hi10lo70,9,4,38,0,0,1.3539094047626437
10 bananas 70 apples,hi10lo70,9,5,29,0.19047619047619047,0,1.1327379591839046
10 bananas 70 apples,hi10lo70,9,6,22,0.38461538461538464,0,0.991371929824246
10 bananas 70 apples,hi10lo70,9,7,29,0,0,1.409390897436354
10 bananas 70 apples,hi10lo70,9,8,30,0.05263157894736842,0,1.1905076086961501
10 bananas 70 apples,hi10lo70,9,9,27,0.11764705882352941,0,1.132740099999355
10 bananas 70 apples,hi10lo70,9,10,32,0.3333333333333333,0,1.1878824444448886
10 bananas 70 apples,hi10lo70,9,11,33,0.55,0,1.1816332954542965
10 bananas 70 apples,hi10lo70,9,12,18,1,0,0.6069202150539895
10 bananas 70 apples,hi10lo70,9,13,24,0.8064516129032258,0,0.8101761267605749
10 bananas 70 apples,hi10lo70,9,14,14,0.7142857142857143,0,0.8929127049183885
10 bananas 70 apples,hi10lo70,9,15,39,0.6785714285714286,0,0.8706626153846558
10 bananas 70 apples,hi10lo70,9,16,21,0.71875,0,0.8571937878785486
10 bananas 70 apples,hi10lo70,9,17,31,0.7083333333333334,0,0.9270860833329304
10 bananas 70 apples,hi10lo70,9,18,18,1,0,0.7044455405400211
10 bananas 70 apples,hi10lo70,9,19,36,1,0,0.7573321830984664
10 bananas 70 apples,hi10lo70,9,20,30,1,0,0.6953786708859585
40 bananas 40 apples,hi40lo40,10,1,56,0,0,2.0385309615384566
40 bananas 40 apples,hi40lo40,10,2,29,0.16666666666666666,0,2.3555726190476154
40 bananas 40 apples,hi40lo40,10,3,51,0.5,0,2.0434322222222194
40 bananas 40 apples,hi40lo40,10,4,57,0,0,2.687282142857108
40 bananas 40 apples,hi40lo40,10,5,21,0.4,0,1.7725799999999812
40 bananas 40 apples,hi40lo40,10,6,38,0.75,0,1.9865577777777448
40 bananas 40 apples,hi40lo40,10,7,38,0.6666666666666666,0,1.9593179310344693
40 bananas 40 apples,hi40lo40,10,8,42,0.4,0,1.875741034482793
40 bananas 40 apples,hi40lo40,10,9,48,0,0,2.120433076923081
40 bananas 40 apples,hi40lo40,10,10,31,0,0,2.037783703703713
40 bananas 40 apples,hi40lo40,10,11,48,0,0,2.1808625000000506
40 bananas 40 apples,hi40lo40,10,12,49,0.125,0,2.261073749999999
40 bananas 40 apples,hi40lo40,10,13,58,0,0,2.255428400000019
40 bananas 40 apples,hi40lo40,10,14,60,0,0,2.7324257500000386
40 bananas 40 apples,hi40lo40,10,15,38,0,0,2.468521739130428
40 bananas 40 apples,hi40lo40,10,16,32,0.2727272727272727,0,2.1649610000000394
40 bananas 40 apples,hi40lo40,10,17,53,0,0,2.9952382352941425
40 bananas 40 apples,hi40lo40,10,18,34,0.3333333333333333,0,2.0705713999999715
40 bananas 40 apples,hi40lo40,10,19,38,0.3333333333333333,0,2.416051521739064
40 bananas 40 apples,hi40lo40,10,20,48,1,0,2.431916590909106
10 bananas 70 apples,hi10lo70,11,1,10,0.5,NA,1.1411403061222756
10 bananas 70 apples,hi10lo70,11,2,24,0.7,0,1.4676059210526688
10 bananas 70 apples,hi10lo70,11,3,24,1,0,0.8290100769231615
10 bananas 70 apples,hi10lo70,11,4,18,1,0,0.8358773880598219
10 bananas 70 apples,hi10lo70,11,5,18,1,0,1.0532657608697342
10 bananas 70 apples,hi10lo70,11,6,18,1,0,0.8792253125000116
10 bananas 70 apples,hi10lo70,11,7,18,1,0,0.875400714285899
10 bananas 70 apples,hi10lo70,11,8,30,1,0,1.0001850000000558
10 bananas 70 apples,hi10lo70,11,9,24,1,0,0.981063879310278
10 bananas 70 apples,hi10lo70,11,10,18,1,0,0.8711774999998583
10 bananas 70 apples,hi10lo70,11,11,7,0.6956521739130435,1,1.1598434375000626
10 bananas 70 apples,hi10lo70,11,12,30,1,0,1.0003111607142532
10 bananas 70 apples,hi10lo70,11,13,24,1,0.3333333333333333,0.7813120149254082
10 bananas 70 apples,hi10lo70,11,14,24,1,0,0.902040793650756
10 bananas 70 apples,hi10lo70,11,15,18,1,0,0.9064761290322959
10 bananas 70 apples,hi10lo70,11,16,30,1,0,0.8504530303030289
10 bananas 70 apples,hi10lo70,11,17,12,1,0.3333333333333333,0.7930304285714718
10 bananas 70 apples,hi10lo70,11,18,24,1,0,0.8151260714285724
10 bananas 70 apples,hi10lo70,11,19,18,1,0,0.8406314035086676
10 bananas 70 apples,hi10lo70,11,20,32,0.1111111111111111,0,1.7435568750001949
10 bananas 70 apples,hi10lo70,12,1,25,0.13333333333333333,0.3333333333333333,1.299061627906942
10 bananas 70 apples,hi10lo70,12,2,35,0.10526315789473684,0,1.4926882051282193
10 bananas 70 apples,hi10lo70,12,3,21,0,NA,1.7435035937505745
10 bananas 70 apples,hi10lo70,12,4,35,0.42105263157894735,0,1.379159880952405
10 bananas 70 apples,hi10lo70,12,5,13,0.07142857142857142,NA,1.6549027272725874
10 bananas 70 apples,hi10lo70,12,6,16,0.8260869565217391,0,1.0491056730769253
10 bananas 70 apples,hi10lo70,12,7,21,0.8846153846153846,0,1.030847115384509
10 bananas 70 apples,hi10lo70,12,8,17,0.75,0,1.0786399019610446
10 bananas 70 apples,hi10lo70,12,9,32,0.4666666666666667,0,1.3360831707321312
10 bananas 70 apples,hi10lo70,12,10,29,0.8,0,1.0131352830190599
10 bananas 70 apples,hi10lo70,12,11,21,0.5,0,1.1420297872335798
